EMPLOYEE_ID,F_NAME,L_NAME,EMAIL,PHONE,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,STEVEN,KING,SKING,5151234567,17-JUN-87,AD_PRES,24000,0,0,
101,NEENA,KOCHHAR,NKOCHHAR,5151234568,18-JUN-87,AD_VP,17000,0,100,90
102,LEX,DE HAAN,LDEHAAN,5151234569,19-JUN-87,AD_VP,17000,0,100,90
103,ALEXENDER,HUNOLD,AHUNOLD,5904234567,20-JUN-87,IT_PROG,9000,0,102,60
104,BRUCE,ERNST,BERNST,51512345678,21-JUN-87,IT_PROG,6000,0,103,60
105,DAVID,AUSTIN,DAUSTIN,5151234569,22-JUN-87,IT_PROG,4800,0,103,60
106,VALLI,PATABALA,VPATABAL,5151234560,23-JUN-87,IT_PROG,4800,0,103,60
107,DIANA,LORENTZ,DLORENTZ,5151235567,24-JUN-87,IT_PROG,4200,0,103,60
108,NANCY,GREENBERG,NGREEBE,51512445679,25-JUN-87,FI_MGR,12000,0,101,100
109,DANIEL,FAVIET,DFAVIET,5151234169,26-JUN-87,FI_ACCOUNT,9000,0,101,100
110,JHON,CHEN,JCHEN,5151244369,27-JUN-87,FI_ACCOUNT,8200,0,108,100
111,ISMAEL,SCIARA,ISCIARA,5151244567,28-JUN-87,FI_ACCOUNT,7700,0,108,100
112,JOSE MANUEL,URMAN,JMURMAN,5151244469,29-JUN-87,FI_ACCOUNT,6900,0,108,100
113,LUIS,POPP,LPOPP,5151234560,01-JUL-87,PU_MAN,11000,0,100,30
114,DEN,RUSSEL,DRUSSEL,5151234561,02-JUL-87,PU_CLERK,3100,0,114,30
115,KAREN,COLMANARES,KCOLMEAN,5904234566,10-AUG-07,PU_CLERK,2800,0,114,30
116,SHELLI,BAIDA,SBAIDA,5151274563,24-DEC-05,PU_CLERK,2900,0,114,30
